"data_referencia|""cod_ibge""|""txt_municipio""|""txt_uf""|""num_ano_financiamento""|""qtd_uh_financiadas""|""vlr_financiamento""|""vlr_subsidio"""
"01/11/2024|110.001|Alta Floresta D'Oeste |RO|""2009""|2|106.000|28.406"
"01/11/2024|110.001|Alta Floresta D'Oeste |RO|""2010""|11|598.983,79|129.620"
"01/11/2024|110.001|Alta Floresta D'Oeste |RO|""2011""|9|450.560,2|35.436"
"01/11/2024|110.001|Alta Floresta D'Oeste |RO|""2012""|26|1.711.299,54|532.644,3999999999"
"01/11/2024|110.001|Alta Floresta D'Oeste |RO|""2013""|33|2.331.474,5400000005|690.322,69"
"01/11/2024|110.001|Alta Floresta D'Oeste |RO|""2014""|42|3.001.273,46|924.962,69"
"01/11/2024|110.001|Alta Floresta D'Oeste |RO|""2015""|43|3.017.464,2300000004|816.503,3099999999"
"01/11/2024|110.001|Alta Floresta D'Oeste |RO|""2016""|25|1.862.638,58|302.075,69"
"01/11/2024|110.001|Alta Floresta D'Oeste |RO|""2017""|15|1.156.655|243.058,31"
"01/11/2024|110.001|Alta Floresta D'Oeste |RO|""2018""|17|1.598.038,89|271.553,76"
"01/11/2024|110.001|Alta Floresta D'Oeste |RO|""2019""|9|778.097,62|139.632,14"
"01/11/2024|110.001|Alta Floresta D'Oeste |RO|""2020""|19|1.859.866,67|384.218,22"
"01/11/2024|110.001|Alta Floresta D'Oeste |RO|""2021""|2|199.983,54|73.505,18"
"01/11/2024|110.001|Alta Floresta D'Oeste |RO|""2022""|8|766.674,8900000001|136.845,29"